List of female tennis players - Wikipedia 
========================================= 

Name    |    Nationality           |           Birth     |     Death     |     Notes
Sabine Lisicki | Germany | 1989 |  | Ranked world No. 12 and world No. 35 in doubles in 2012 • 2009 Wimbledon quarterfinalist • 2011 Wimbledon semifinalist • 2012 Wimbledon quarterfinalist • 2013 Wimbledon finalist • 2014 Wimbledon quarterfinalist
Dorothy Round Little | United Kingdom | 1908 | 1982 | 
Anita Lizana | Chile | 1915 | 1994 | 
Peanut Louie Harper | United States | 1960 |  | Ranked world No. 19 in singles in 1985 and world No. 31 in doubles in 1992
 | France | 1945 |  | 1968/1971 French Open quarterfinalist
Mirjana Lučić | Croatia | 1982 |  | Ranked world No. 20 in singles in 2017 and world No. 19 in doubles in 1998 • 1998 Australian Open women's doubles champion • 1999 Wimbledon semifinalist • 2017 Australian Open semifinalist
Ivanna Madrgua-Osses | Argentina | 1961 |  | 1980 French Open quarterfinalist • 1980/1983 US Open quarterfinalist
Gretchen (Rush) Magers | United States | 1964 |  | Ranked world No. 3 in singles in 1985 and world No. 18 in doubles in 1990
Iva Majoli | Croatia | 1977 |  | 
Ekaterina Makarova | Russia | 1988 |  | Ranked world No. 8 in singles and world No. 3 in doubles in 2015 • 2013 French Open women's doubles champion • 2014 US Open women's doubles champion • 2012 US Open mixed doubles champion • 2016 Olympics women's doubles gold medalist
Katerina Maleeva | Bulgaria | 1969 |  | Ranked world No. 6 in singles in 1990 and world No. 24 in doubles in 1994
Magdalena Maleeva | Bulgaria | 1975 |  | Ranked world No. 4 in singles in 1996 and world No. 13 in doubles in 2004
Manuela Maleeva-Fragniere | Bulgaria | 1967 |  | Ranked world No. 3 in 1985 • 1984 US Open mixed doubles champion
Molla Bjurstedt Mallory | Norway | 1884 | 1959 | 
Hana Mandlíková | Czechoslovakia | 1962 |  | 
Lucia Manfredi | Italy |  |  | 1947 French Championships quarterfinalist
Eugenia Maniokova | Soviet Union | 1968 |  | Ranked world No. 68 in singles in 1992 and world No. 18 in doubles in 1994 • 1993 French Open mixed doubles champion
Alice Marble | United States | 1913 | 1990 | 
Norma Marsh | Australia | 1936 |  | 1958 Australian Championship semifinalist
Regina Maršíková | Czechoslovakia | 1958 |  | 1977/1978 French Open semifinalist
Cecilia Martinez | United States | 1947 |  | 1970 Wimbledon quarterfinalist
Conchita Martínez | Spain | 1972 |  | 
María José Martínez Sánchez | Spain | 1982 |  | Ranked world No. 19 in singles and world No. 4 in doubles in 2010
Helga Niessen Masthoff | Germany | 1941 |  | Ranked world No. 6 at year-end in 1970 • 1970 French Open runner-up • 1976 French Open women's doubles runner-up
Simonne Mathieu | France | 1908 | 1980 | 
Christine Matison | Australia | 1951 |  | 1978 Australian Open semifinalist
Bethanie Mattek-Sands | United States | 1985 |  | Ranked world No. 30 in singles in 2011 and world No. 12 in doubles in 2010 • 2012 Australian Open mixed doubles champion
Amélie Mauresmo | France | 1979 |  | 
Kathy May | United States | 1956 |  | 1977/1978 French Open quarterfinalist • 1978 US Open quarterfinalist • Ranked 10th in singles in 1977
Meredith McGrath | United States | 1971 |  | Ranked world No. 18 in singles in 1996 and world No. 5 in doubles in 1994 • 1995 US Open mixed doubles champion
Christina McHale | United States | 1992 |  | Ranked world No. 24 in singles in 2012 and world No. 35 in doubles in 2017
Mary McIlquham | Netherlands |  |  | 1929 Wimbledon quarterfinalist
Lori McNeil | United States | 1963 |  | Ranked world No. 9 in singles in 1988 and world No. 4 in doubles in 1987 • 1987 Australian Open women's doubles champion • 1988 French Open mixed doubles champion
Anabel Medina Garrigues | Spain | 1982 |  | Ranked world No. 16 in singles in 2009 and world No. 3 in doubles in 2008 • 2008 French Open women's doubles champion
Natalia Medvedeva | Soviet Union | 1971 |  | Ranked world No. 23 in singles in 2003 and world No. 21 in doubles in 1994
Christianne Mercelis | Belgium |  |  | 1957 French quarterfinalist
Elise Mertens | Belgium | 1995 |  | Ranked world No. 13 in singles 2018 and world No. 36 in doubles 2018 ◌ Singles: 2018 Australian Open semifinalist
Leila Meskhi | Soviet Union | 1968 |  | Ranked world No. 12 in singles in 1991 and world No. 21 in doubles in 1995
Margaret "Peggy" Michel | United States | 1949 |  | 1974/1975 Australian Open women's doubles champion • 1974 Wimbledon women's doubles champion
Florența Mihai | Romania | 1955 |  | Singles: 1977 French Open runner-up
Anne Minter | Australia | 1963 |  | Ranked world No. 23 in singles in 1988 and world No. 68 in doubles in 1990
Sania Mirza | India | 1986 |  | Ranked world No. 27 in singles and world No. 1 in doubles. Three Grand Slam titles in mixed doubles. By far the most successful female player from India.
Kristina Mladenovic | France | 1993 |  | Ranked world No. 10 in singles in 2017 and world No. 2 in doubles in 2017 ◌ Singles: 2015 US Open quarterfinalist • 2017 French Open quarterfinalist ◌ Doubles: 2016 French Open champion ◌ Mixed doubles: 2013 Wimbledon champion • 2014 Australian Open champion
Corinne Molesworth | United Kingdom | 1949 |  | 1972 French Open quarterfinalist
Margaret Molesworth | Australia | 1894 | 1985 | 
Alicia Molik | Australia | 1981 |  | Ranked world No. 8 in singles and world No. 6 in doubles in 2005 ◌ Singles: 2005 Australian Open quarterfinalist • 2004 Olympic bronze medalist ◌ Doubles: 2005 Australian Open champion • 2007 French Open champion
Dominique Monami | Belgium | 1973 |  | Ranked world No. 9 in singles in 1998 and world No. 21 in doubles in 2000 ◌ Singles: 1997/1999 Australian Open quarterfinalist
Ángeles Montolio | Spain | 1975 |  | Ranked world No. 22 in singles in 2002
Helen Wills Moody | United States | 1905 | 1998 | 
Sally Moore Huss | United States | 1940 |  | Ranked world No. 9 at year-end in 1959 • 1959 Wimbledon semifinalist
Corina Morariu | United States | 1978 |  | Ranked world No. 29 in singles in 1998 and world No. 1 in doubles in 2000 • 1999 Wimbledon women's doubles champion • 2001 Australian Open mixed doubles champion
Olga Morozova | Soviet Union | 1949 |  | Ranked world No. 7 at year-end in 1975 • 1974 French Open women's doubles champion
Angela Mortimer Barrett | United Kingdom | 1932 |  | 
Joy Gannon Mottram | United Kingdom |  |  | 1952 French Championships quarterfinalist
Alycia Moulton | United States | 1961 |  | Ranked world No. 18 in singles in 1984 and world No. 28 in doubles in 1987
Phyllis Mudford King | United Kingdom | 1905 | 2006 | Ranked world No. 7 at year-end in 1930 • 1930 Wimbledon quarterfinalist • 1931 Wimbledon women's doubles champion
Garbiñe Muguruza | Spain | 1993 |  | 
Anastasia Myskina | Russia | 1981 |  | 
Kyōko Nagatsuka | Japan | 1974 |  | Ranked world No. 28 in singles and world No. 31 in doubles in 1995
Betsy Nagelsen | United States | 1956 |  | Ranked world No. 25 in singles in 1986 and world No. 11 in doubles in 1988 • 1978/1980 Australian Open women's doubles champion
Henrieta Nagyová | Slovakia | 1978 |  | Ranked world No. 21 in singles in 2001 and world No. 37 in doubles in 2002
Martina Navratilova | Czechoslovakia | 1956 |  | 
Larisa (Savchenko) Neiland | Latvia | 1966 |  | Ranked world No. 13 in singles in 1988 and world No. 1 in doubles in 1992 • 1989 French Open women's doubles champion • 1991 Wimbledon women's doubles champion • 1992 Wimbledon mixed-doubles champion • 1994/1996 Australian Open mixed-doubles champion • 1995 French Open mixed-doubles champion
Janet Newberry | United States | 1953 |  | 1975/1977 French Open semifinalist
Helene Nicolopoulos | Greece |  |  | 1928 Wimbledon quarterfinalist
Jana Novotná | Czechoslovakia | 1968 | 2017 | 
Yola Ramírez Ochoa | Mexico | 1935 |  | Ranked world No. 6 at year-end in 1961 • 1958 French Championships women's doubles champion • 1959 French Championships mixed doubles champion
Naomi Osaka | Japan | 1997 |  | 
Jeļena Ostapenko | Latvia | 1997 |  | 
Miriam Oremans | Netherlands | 1972 |  | Ranked world No. 25 in singles in 1993 and world No. 19 in doubles in 1997 ◌ Doubles: 2000 Olympic silver medalist
Melanie Oudin | United States | 1991 |  | Ranked world No. 31 in singles in 2010 and world No. 125 in doubles in 2011 • 2011 US Open mixed doubles champion
Tatiana Panova | Russia | 1976 |  | Ranked world No. 20 in singles in 2002 and world No. 75 in doubles in 2003
Pascale Paradis | France | 1966 |  | Ranked world No. 20 in singles and world No. 38 in doubles in 1988
Susan Chatrier Partridge | Spain |  |  | 1953 French Championships quarterfinalist
Barbara Paulus | Austria | 1970 |  | Ranked world No. 10 in singles in 1996 and world No. 83 in doubles in 1989
Anastasia Pavlyuchenkova | Russia | 1991 |  | Ranked world No. 14 in singles in 2011 and world No. 70 in doubles in 2009
Lolette Payot | Switzerland |  |  | 
Irene Bowder Peacock | South Africa | 1892 | 1978 | Ranked world No. 6 at year-end in 1922 • 1927 French Championships runner-up • 1927 French Championships women's doubles champion
Shahar Pe'er | Israel | 1987 |  | Ranked world No. 11 in singles in 2011 and world No. 14 in doubles in 2008
Peng Shuai | China | 1986 |  | Ranked world No. 14 in singles in 2011 and world No. 13 in doubles in 2009
Flavia Pennetta | Italy | 1982 |  | 
Květa (Hrdličková) Peschke | Czech Republic | 1975 |  | Ranked world No. 26 in singles in 2005 and world No. 1 in doubles in 2011 • won Wimbledon doubles in 2011
Andrea Petkovic | Germany | 1987 |  | Ranked world No. 9 in singles in 2011 and world No. 68 in doubles in 2009
Nadia Petrova | Russia | 1982 |  | Ranked world No. 3 in singles in 2006 and world No. 3 in doubles in 2005
Eva Pfaff | Germany | 1961 |  | Ranked world No. 17 in singles in 1983 and world No. 16 in doubles in 1988
Terry Phelps | United States | 1966 |  | Ranked world No. 20 in singles in 1986 and world No. 37 in doubles in 1989
Mary Pierce | France | 1975 |  | 
 | Czechoslovakia | 1946 |  | 1974 French Open quarterfinalist
Sylvia Plischke | Austria | 1977 |  | Ranked world No. 27 in singles in 1999 and world No. 78 in doubles in 2001 • 1999 French Open quarterfinals
Karolína Plíšková | Czech Republic | 1992 |  | Ranked world No. 1 in singles in 2017 • 2016 US Open finalist
Kimberly Po-Messerli | United States | 1971 |  | Ranked world No. 14 in singles in 1997 and world No. 6 in doubles in 2001 • 2000 Wimbledon mixed doubles champion
Claudia Porwik | Germany | 1968 |  | Ranked world No. 29 in singles in 1990 and world No. 24 in doubles in 1994 • 1990 Australian Open quarterfinals
Barbara Potter | United States | 1961 |  | Ranked world No. 10 in singles in 1983, and world No. 15 in doubles in 1988
Betty Rosenquest Pratt | United States | 1925 |  | Ranked world No. 7 at year-end in 1954 • 1954 Wimbledon semifinalist
Mary Ann Prentiss | United States |  |  | 1948 French Championships quarterfinalist
Sandra Reynolds Price | South Africa | 1934 |  | Ranked world No. 3 at year-end in 1960 • 1959 Australian Championships women's doubles champion • 1959/1961/1962 French Championships women's doubles champion • 1959 Australian Championships mixed doubles champion
Monica Puig | Puerto Rico | 1993 |  | 2016 Olympic gold medalist in singles
Jean Quertier | United Kingdom | 1925 |  | Ranked world No. 9 at year-end in 1952 • 1948/1952 Wimbledon quarterfinalist • 1953 French Championships quarterfinalist
Agnieszka Radwańska | Poland | 1989 |  | Ranked world No. 2 in singles in 2012 and world No. 25 in doubles in 2011
Lisa Raymond | United States | 1973 |  | Ranked world No. 15 in singles in 1997 and world No. 1 in doubles in 2000 • 2000 Australian Open women's doubles champion • 2001 Wimbledon women's doubles champion • 2001/2005 US Open women's doubles champion • 2006 French Open women's doubles champion • 1996/2002 US Open mixed doubles champion • 1999 Wimbledon mixed doubles champion • 2003 French Open mixed doubles champion
Virginie Razzano | France | 1983 |  | Ranked world No. 16 in singles in 2009 and world No. 82 in doubles in 2001
Hazel Redick-Smith | South Africa | 1926 |  | 1952 French Championships semifinalist
Raffaella Reggi | Italy | 1965 |  | Ranked world No. 13 in singles in 1988 and world No. 25 in doubles in 1991
Stephanie Rehe | United States | 1969 |  | Ranked world No. 10 in singles in 1989 and world No. 10 in doubles in 1992
Kerry Melville Reid | Australia | 1947 |  | 
Elna Reinach | South Africa | 1968 |  | Ranked world No. 26 in singles in 1989 and world No. 10 in doubles in 1990 • 1994 US Open mixed doubles champion
Jennifer Mundel Reinbold | South Africa | 1962 |  | 1983 Wimbledon quarterfinalist
Mary Carter Reitano | Australia | 1934 |  | 
Aravane Rezaï | France | 1987 |  | Ranked world No. 16 in singles in 2010
Nancy Richey (Gunter) | United States | 1942 |  | 
Joan Ridley O'Meara | United Kingdom |  |  | 1929 Wimbledon semifinalist
Helen Rihbany | United States |  |  | 1949 Wimbledon semifinalist
Kathy Rinaldi | United States | 1967 |  | Ranked world No. 7 in singles in 1986 and world No. 13 in doubles in 1993
Barbara Rittner | Germany | 1973 |  | Ranked world No. 24 in singles in 1993 and world No. 23 in doubles in 2002
Esna Boyd Robertson | Australia | 1899 | 1966 | 
Madzy Rollin Couquerque | Netherlands | 1903 | 1994 | 1938 French Championships semifinalist
E. F. Rose |  |  |  | 1923 Wimbledon quarterfinalist
Odile de Roubin | France | 1948 |  | 1973 French Open quarterfinalist
Virginia Ruano Pascual | Spain | 1973 |  | Ranked world No. 28 in singles in 1999 and world No. 1 in doubles in 2003 • 2001/2002/2004/2005/2008 French Open women's doubles champion • 2002/2003/2004 US Open women's doubles champion • 2004 Australian Open women's doubles champion • 2000 French Open mixed doubles champion
Chanda Rubin | United States | 1976 |  | Ranked world No. 6 in singles in 1996 and world No. 9 in doubles in 1996 • 1996 Australian Open semifinalist • 1995/2000/2003 French Open quarterfinalist • 1996 Australian Open women's doubles champion
Magda Rurac | Romania |  |  | Ranked world No. 9 at year-end in 1948 • 1947 French Championships quarterfinalist
Joanne Russell | United States | 1954 |  | Ranked world No. 22 in singles in 1983 and world No. 32 in doubles in 1987
Virginia Ruzici | Romania | 1955 |  | 
Elizabeth Ryan | United States | 1892 | 1979 | Ranked world No. 3 at year-end in 1927 • 1914/1922/1930/1932/1933/1934 French Championships women's doubles champion • 1914/1919/1920/1921/1922/1923/1925/1926/1927/1930/1933/1934 Wimbledon women's doubles champion • 1926 U.S. Championships women's doubles champion • 1913/1914 French Championships mixed doubles champion • 1919/1921/1923/1927/1928/1930/1932 Wimbledon mixed doubles champion • 1926/1933 U.S. Championships mixed doubles champion
Magdaléna Rybáriková | Slovakia | 1988 |  | Ranked world No. 17 in 2018 • 2017 Wimbledon semifinalist • 2014 Wimbledon doubles semifinalist
Aryna Sabalenka | Belarus | 1998 |  | Ranked world No. 12 in 2018
Gabriela Sabatini | Argentina | 1970 |  | 
Lucie Šafářová | Czech Republic | 1987 |  | Ranked world No. 5 in singles in 2015 and world No. 1 in doubles in 2017
Dinara Safina | Russia | 1986 |  | Ranked world No. 1 in singles in 2009 and world No. 8 in doubles in 2008 • 2007 US Open women's doubles champion
Arantxa Sánchez Vicario | Spain | 1971 |  | 
Christina Sandberg | Sweden | 1948 |  | 1970 Australian Open quarterfinals
Mara Santangelo | Italy | 1981 |  | Ranked world No. 27 in singles and world No. 5 in doubles in 2007 • 2007 French Open women's doubles champion
Phyllis Satterthwaite | United Kingdom | 1886 | 1962 | Ranked world No. 8 at year-end in 1924 • 1924 Wimbledon semifinalist
Kazuko Sawamatsu | Japan | 1951 |  | 1975 French Open quarterfinalist • 1975 Wimbledon women's doubles champion
Naoko Sawamatsu | Japan | 1973 |  | Ranked world No. 14 in singles and world No. 98 in doubles in 1995
Mary Sawyer | Australia |  |  | 1979 Australian Open semifinalist
Marijke Schaar | Netherlands | 1944 |  | 1971 French Open semifinalist
Barbara Schett | Austria | 1976 |  | Ranked world No. 7 in singles in 1999 and world No. 8 in doubles in 2001 ◌ Singles: 1999 US Open quarterfinalist • 1999 WTA Finals quarterfinalist
Francesca Schiavone | Italy | 1980 |  | 
Patty Schnyder | Switzerland | 1978 |  | Ranked world No. 7 in singles and world No. 15 in doubles in 2005 ◌ Singles: 2004 Australian Open semifinalist • 1998/2008 French Open quarterfinalist • 1998/2008 US Open quarterfinalist
Brenda Schultz-McCarthy | Netherlands | 1970 |  | Ranked world No. 9 in singles in 1996 and world No. 7 in doubles in 1995
Helga Schultze | West Germany | 1940 | 2015 | Ranked world No. 5 at year-end in 1964 • 1964 French Championships semifinalist
Renée Schuurman | South Africa | 1939 | 2001 | Ranked world No. 8 at year-end in 1963 • 1959 Australian Championships women's doubles champion • 1959/1961/1962/1963 French Championships women's doubles champion • 1962 French Championships mixed doubles champion
Barbara Schwartz | Austria | 1979 |  | Ranked world No. 40 in singles in 1999 • 1999 French Open quarter-finals
Margaret Scriven Vivian | United Kingdom | 1912 | 2001 | 
Heather Segal | South Africa | 1931 |  | 1958 French Championships semi-finalist
Ann Marie Seghers |  |  |  | 1949/1954 French Championships quarter-finalist
Monica Seles | Socialist Federal Republic of Yugoslavia | 1973 |  | 
Magüi Serna | Spain | 1979 |  | Ranked world No. 19 in singles and world No. 25 in doubles in 2004
Anastasija Sevastova | Latvia | 1990 |  | Ranked world No. 11 in singles in 2018 • 2018 US Open semifinalist
Maria Sharapova | Russia | 1987 |  | 
Meghann Shaughnessy | United States | 1979 |  | Ranked world No. 11 in singles in 2001 and world No. 4 in doubles in 2005
Winnie Shaw | United Kingdom | 1947 | 1992 | 1970 Wimbledon quarterfinalist
Dorothy Shepherd-Barron | United Kingdom | 1897 | 1953 | 1921/1924 Wimbledon quarterfinalist • 1924 Olympic bronze medalist in women's doubles • 1931 Wimbledon women's doubles champion
Betty Nuthall Shoemaker | United Kingdom | 1911 | 1983 | 
Pam Shriver | United States | 1962 |  | Ranked world No. 3 in 1984 • 1984/1985/1987/1988 French Open women's doubles champion • 1981/1982/1983/1984/1986 Wimbledon women's doubles champion • 1983/1984/1986/1987/1991 US Open women's doubles champion • 1982/1983/1984/1985/1987/1988/1989 Australian Open women's doubles champion • 1987 Wimbledon mixed-doubles champion
Yaroslava Shvedova | Russia | 1987 |  | Ranked world No. 25 in singles in 2012 and world No. 3 in doubles in 2016 • 2010 Wimbledon women's doubles champion • 2010 US Open women's doubles champion
Anne-Gaëlle Sidot | France | 1979 |  | Ranked world No. 24 in singles in 2000 and world No. 15 in doubles in 2001
Laura Siegemund | Germany | 1988 |  | Ranked world No. 27 in singles and world No. 40 in doubles in 2016 ◌ Mixed doubles: 2016 US Open champion
Brigitte Simon-Glinel | France | 1956 |  | 1978 French Open semifinalist
Susan Sloane-Lundy | United States | 1970 |  | Ranked world No. 19 in 1989
Anna Smashnova (Pistolesi) | Israel | 1976 |  | Ranked world No. 15 in 2003
Anne Smith | United States | 1959 |  | Ranked world No. 12 in 1982 • 1981 Australian Open women's doubles champion • 1980/1982 French Open women's doubles champion • 1980 Wimbledon women's doubles champion • 1981 US Open women's doubles champion • 1980/1984 French Open mixed-doubles champion • 1982 Wimbledon mixed-doubles champion • 1981/1982 US Open mixed-doubles champion
Elizabeth Smylie | Australia | 1963 |  | Ranked world No. 20 in singles in 1987 and world No. 5 in doubles in 1988 • 1985 Wimbledon women's doubles champion • 1991 Wimbledon mixed-doubles champion • 1983/1990 US Open mixed-doubles champion
Abigail Spears | United States | 1981 |  | 2017 Australian Open mixed doubles champion
Hilde Krahwinkel Sperling | Germany | 1908 | 1981 | 
Irina Spîrlea | Romania | 1974 |  | Ranked world No. 7 in singles in 1997 and world No. 16 in doubles in 1995
Karolina Šprem | Croatia | 1984 |  | Ranked world No. 17 in 2004
Katarina Srebotnik | Slovenia | 1981 |  | Ranked world No. 20 in singles in 2006 and world No. 3 in doubles in 2008 • 1999/2006/2010 French Open mixed doubles champion • 2003 US Open mixed doubles champion • 2011 Australian Open mixed doubles champion
Kay Stammers Bullitt | United Kingdom | 1914 | 2005 | Ranked world No. 2 at year-end in 1939 • 1935 French Championships women's doubles champion • 1935/1936 Wimbledon women's doubles champion
Carolin Babcock Stark | United States | 1912 | 1987 | Ranked world No. 10 at year-end in 1934 and 1936 • 1936 U.S. Championships women's doubles champion
Sloane Stephens | United States | 1993 |  | 
Greer Stevens | South Africa | 1957 |  | Ranked world No. 10 at year-end in 1980 • 1980 Wimbledon quarterfinalist
Alexandra Stevenson | United States | 1980 |  | Ranked world No. 18 in singles in 2002 and world No. 67 in doubles in 2003
Samantha Stosur | Australia | 1984 |  | 
Betty Stöve | Netherlands | 1945 |  | Ranked world No. 5 in 1977 • 1972/1979 French Open women's doubles champion • 1972 Wimbledon women's doubles champion • 1972/1977/1979 US Open women's doubles champion • 1978/1981 Wimbledon mixed-doubles champion • 1977/1978 US Open mixed-doubles champion
Barbora Strýcová | Czech Republic | 1986 |  | Ranked world No. 16 in singles and world No. 10 in doubles in 2017
Rennae Stubbs | Australia | 1971 |  | Ranked world No. 64 in 1996 • 2000 Australian Open women's doubles champion • 2001/2004 Wimbledon women's doubles champion • 2001 US Open women's doubles champion • 2000 Australian Open mixed-doubles champion • 2001 US Open mixed-doubles champion
Paola Suárez | Argentina | 1976 |  | Ranked world No. 9 in singles in 2004 and world No. 1 in doubles in 2002 ◌ Doubles: 2001/2002/2004/2005 French Open champion • 2002/2003/2004 US Open champion • 2004 Australian Open champion
Carla Suárez Navarro | Spain | 1988 |  | Ranked world No. 6 in singles in 2016 and world No. 11 in doubles in 2015 ◌ Singles: 2008/2014 French Open quarterfinalist • 2009/2016/2018 Australian Open quarterfinalist • 2013 US Open quarterfinalist
Elena Subirats | Mexico | 1947 |  | 1968 French Open quarterfinalist
Ai Sugiyama | Japan | 1975 |  | Ranked world No. 8 in singles in 2004 and world No. 1 in doubles in 2000 ◌ Doubles: 2000 US Open champion • 2003 French Open champion • 2003 Wimbledon champion ◌ Mixed doubles: 1999 US Open champion
Helena Suková | Czechoslovakia | 1965 |  | Ranked world No. 4 in 1985 • 1990/1992 Australian Open women's doubles champion • 1990 French Open women's doubles champion • 1987/1989/1990/1996 Wimbledon women's doubles champion • 1985/1993 US Open women's doubles champion • 1991 French Open mixed-doubles champion • 1994/1996/1997 Wimbledon mixed-doubles champion • 1993 US Open mixed-doubles champion
Věra Suková | Czechoslovakia | 1931 | 1982 | Ranked world No. 5 at the end of the year in 1962 • 1962 Wimbledon finalist • 1957/1963 French semifinalist • 1962 US quarterfinalist ◌ Mixed doubles: 1957 French champion
Sheila Piercey Summers | South Africa | 1919 | 2005 | Ranked world No. 6 at the end of the year in 1947 • 1947/1949 French Championships mixed-doubles champion • 1949 Wimbledon mixed-doubles champion
Sun Tiantian | China | 1981 |  | Ranked world No. 77 in singles and world No. 16 in doubles in 2007 ◌ Doubles: 2004 Olympics gold medalist ◌ Mixed doubles: 2008 Australian Open champion
Karen Hantze Susman | United States | 1942 |  | 
May Sutton Bundy | United States | 1886 | 1975 | 
Astrid Suurbeek | Netherlands | 1947 |  | 1968 Australian Open quarterfinalist
Elina Svitolina | Ukraine | 1994 |  | Ranked world No. 3 in singles in 2017 ◌ Singles: 2015/2017 French Open quarterfinalist • 2018 Australian Open quarterfinalist
Mariaan de Swardt | South Africa | 1971 |  | Ranked world No. 28 in singles in 1996 and world No. 11 in doubles in 1998 • 1999 Australian Open mixed doubles champion • 2000 French Open mixed doubles champion
Éva Szabó | Hungary | 1945 |  | 1975 French Open quarter-finalist
Ágnes Szávay | Hungary | 1988 |  | Ranked world No. 13 in singles in 2008 and world No. 22 in doubles in 2007
Silvija Talaja | Croatia | 1978 |  | Ranked world No. 18 in singles in 2000 and world No. 54 in doubles in 2004
Tamarine Tanasugarn | Thailand | 1977 |  | Ranked world No. 19 in singles in 2002 and world No. 15 in doubles in 2004
Catherine Tanvier | France | 1965 |  | Ranked world No. 20 in singles in 1984 and world No. 16 in doubles in 1986
Billie  Tapscott | South Africa | 1903 | 1970 | 1927 French, 1929 Wimbledon quarterfinalist
Patricia Tarabini | Argentina | 1968 |  | Ranked world No. 29 in singles and world No. 12 in doubles in 1888 • 1996 French Open mixed doubles champion
Nathalie Tauziat | France | 1967 |  | Ranked world No. 3 in singles in 2000 and world No. 3 in doubles in 2002 ◌ Singles: 1998 Wimbledon finalist • 1991 French Open quarterfinalist • 2000 US Open quarterfinalist
Pam Teeguarden | United States | 1951 |  | 1977 French Open quarterfinalist
Judy Tegart Dalton | Australia | 1937 |  | Ranked world No. 7 at the end of the year in 1968 • 1968 Wimbledon runner-up • 1964/1967/1969/1970 Australian Championships/Open women's doubles champion • 1966 Wimbledon women's doubles champion • 1966 French Championships women's doubles champion • 1970/1971 US Open women's doubles champion
Andrea Temesvári | Hungary | 1966 |  | Ranked world No. 7 in 1984 • 1986 French Open women's doubles champion
Sandrine Testud | France | 1972 |  | Ranked world No. 9 in singles and world No. 8 in doubles in 2000 ◌ Singles: 1997 US Open quarterfinalist • 1998 Australian Open quarterfinalist
Patricia Canning Todd | United States | 1922 |  | 
Renáta Tomanová | Czechoslovakia | 1954 |  | Ranked world no. 22 ◌ Singles: 1976 Australian Open finalist • 1976 French Open finalist ◌ Doubles: 1978 Australian Open champion ◌ Mixed doubles: 1978 French Open champion
Christine Truman Janes | United Kingdom | 1941 |  | 
Kay Tuckey | United Kingdom |  |  | Ranked world No. 10 at year-end in 1951 • 1951 Wimbledon quarterfinalist
Linda Tuero | United States | 1950 |  | 1971 French Open quarter-finalist
Iroda Tulyaganova | Uzbekistan | 1982 |  | Ranked world No. 16 in singles and world No. 28 in doubles in 2002
Wendy Turnbull | Australia | 1952 |  | Ranked world No. 3 in singles in 1985 • 1977 US Open runner-up • 1979 French Open runner-up • 1980 Australian Open runner-up • 1978 Wimbledon women's doubles champion • 1979 French Open women's doubles champion • 1979/1982 US Open women's doubles champion • 1979/1982 French Open mixed-doubles champion • 1980 US Open mixed-doubles champion • 1983/1984 Australian Open mixed-doubles champion
Lesley Turner Bowrey | Australia | 1942 |  | 
C Tyrell |  |  |  | 1926 Wimbledon quarterfinalist
Vladimíra Uhlířová | Czech Republic | 1978 |  | Ranked world No. 18 in doubles in 2007
Nicole Vaidišová | Czech Republic | 1989 |  | Ranked world No. 7 in singles in 2007 ◌ Singles: 2006 French Open semifinalist • 2007 Australian Open semifinalist • 2007/2008 Wimbledon quarterfinalist
Lucia Valerio | Italy | 1905 | 1996 | 1933 Wimbledon quarterfinalist
Molly Van Nostrand | United States | 1965 |  | 1985 Wimbledon quarterfinalist
Coco Vandeweghe | United States | 1991 |  | Ranked world No. 9 in singles in 2017 and world No. 18 in doubles in 2016 ◌ Singles: 2017 Australian Open semifinalist • 2017 US Open semifinalist • 2015/2017 Wimbledon quarterfinalist
Yvonne Vermaak | South Africa | 1956 |  | Ranked world No. 20 in 1983
Elena Vesnina | Russia | 1986 |  | Ranked world No. 13 in singles in 2017 and world No. 3 in doubles in 2014 • 2013 French Open women's doubles champion • 2014 US Open women's doubles champion • 2016 Australian Open mixed doubles champion • 2016 Olympics women's doubles gold medalist
Roberta Vinci | Italy | 1983 |  | 
Erika Vollmer | Germany |  |  | 1953 Wimbledon quarterfinalist
Vlasta Vopičková | Czechoslovakia | 1944 |  | 1968 and 1970 French Open quarter-finalist
Bernice Carr Vukovich | South Africa | 1938 |  | 1960 US Open quarter-finals
Virginia Wade | United Kingdom | 1945 |  | 
Jean Walker-Smith | United Kingdom | 1924 | 2010 | Ranked world No. 5 at the end of the year in 1951 • 1951 French Championships semifinalist
Wang Qiang | China | 1992 |  | Ranked world No. 22 in singles in 2018
Patricia Ward Hales | United Kingdom | 1929 | 1985 | Ranked world No. 8 at the end of the year in 1956
Heather Watson | United Kingdom | 1992 |  | 2016 Wimbledon mixed doubles champion
Maud Watson | United Kingdom | 1864 | 1946 | 
Phoebe Holcroft Watson | United Kingdom | 1898 | 1980 | Ranked world No. 2 at year-end in 1929 • 1929 U.S. Championships runner-up • 1928/1929 Wimbledon women's doubles champion • 1929 U.S. Championships women's doubles champion • 1928 French Championships women's doubles champion
Maria Teran Weiss | Argentina | 1918 | 1984 | 1948/1952 French quarterfinalist
Alice Weiwers | Luxembourg |  |  | 1946 French quarterfinalist
Mimi Arnold | United States | 1939 |  | 1958 Wimbledon quarterfinalist
Nancy Chaffee | United States | 1929 | 2002 | Ranked world No. 4 at year-end in 1951 • 1951 Wimbledon quarterfinalist
