List of male singles tennis players - Wikipedia 
=============================================== 

Name    |    Birth     |     Death     |     Nationality           |           Criteria for inclusion
Vernon Kirby | 1911 | – | South Africa | 1934 U.S. Championships singles semifinalist • 1934 Wimbledon singles quarterfinalist • 1931, 1937 French Championships doubles finalist • 1935 Australian Championships mixed doubles finalist
Martin Kližan | 1989 | – | Slovakia | Ranked world no. 24 in 2015
Percy Knapp | 1863 | 1917 | United States | 1885, 1890 U.S. Championships singles finalist
Billy Knight | 1935 | – | United Kingdom | 
Julian Knowle | 1974 | – | Austria | 
Mark Knowles | 1971 | – | The Bahamas | 
Thomaz Koch | 1945 | – | Brazil | 
Jan Kodeš | 1946 | – | Czech Republic | 
Philipp Kohlschreiber | 1983 | – | Germany | 2012 Wimbledon quarterfinalist • ranked world no. 16 in 2012
Petr Korda | 1968 | – | Czechoslovakia | 
Stefan Koubek | 1977 | – | Austria | 2002 Australian Open quarterfinalist • ranked world no. 20 in 2000
Jan Koželuh | 1904 | 1979 | Czechoslovakia | 1926 and 1927 Wimbledon quarterfinalist
Karel Koželuh | 1895 | 1950 | Czechoslovakia | 
Richard Krajicek | 1971 | – | Netherlands | 
Jack Kramer | 1921 | 2009 | United States | 
Oscar Kreuzer | 1887 | 1968 | Germany | 1913 Wimbledon semifinalist • 1912 Olympic singles bronze medalist
Aaron Krickstein | 1967 | – | United States | 1989 U.S. Open semifinalist, 1988 and 1990 quarterfinalist • 1995 Australian Open semifinalist • ranked world no. 6 in 1990
Johan Kriek | 1958 | – | South Africa | 
Ramanathan Krishnan | 1937 | – | India | 1960 and 1961 Wimbledon semifinalist • 1962 French quarterfinalist
Ramesh Krishnan | 1961 | – | India | 1981 and 1987 U.S. Open quarterfinalist • 1986 Wimbledon quarterfinalist • ranked world no. 23 in 1985
Paul Kronk | 1954 | – | Australia | 1978 Australian Open quarterfinalist
Łukasz Kubot | 1982 | – | Poland | 
Gustavo Kuerten | 1976 | – | Brazil | 
Karol Kučera | 1974 | – | Slovakia | 1998 Australian Open semifinalist, 1999 quarterfinalist • 1998 U.S. Open quarterfinalist • ranked world no. 6 in 1998
Nicklas Kulti | 1971 | – | Sweden | 1992 French Open quarterfinalist
Ichiya Kumagae | 1890 | 1968 | Japan | 1918 U.S. Championships singles semifinalist • 1920 Olympics singles and doubles silver medalist
Nick Kyrgios | 1995 | – | Australia | 2015 Australian Open quarterfinalist • 2014 Wimbledon quarterfinalist •Ranked world no. 13 in 2016
René Lacoste | 1904 | 1996 | France | 
Nicolás Lapentti | 1976 | – | Ecuador | 1999 Australian Open semifinalist • 2002 Wimbledon quarterfinalist • ranked world no. 6 in 1999
Sébastien Lareau | 1973 | – | Canada | 
William Larned | 1872 | 1926 | United States | 
Art Larsen | 1925 | 2012 | United States | 
Magnus Larsson | 1970 | – | Sweden | 1994 French Open semifinalist • 1993, 1997 and 1998 U.S. Open quarterfinalist • ranked world no. 10 in 1995
Rod Laver | 1938 | – | Australia | 
Herbert Lawford | 1851 | 1925 | United Kingdom | 
Rick Leach | 1964 | – | United States | 
Henri Leconte | 1963 | – | France | 
Harry Lee | 1907 | 1998 | United Kingdom | 1933 French Championships singles semifinalist, 1934 Australian Championships singles quarterfinalist
Ivan Lendl | 1960 | – | Czech Republic | 
Ernest Lewis | 1867 | 1930 | United Kingdom | 1886, 1888, 1892, 1894 Wimbledon finalist
Chris Lewis | 1957 | – | New Zealand | 1983 Wimbledon finalist • ranked world no. 19 in 1979
Robert Lindstedt | 1977 | – | Sweden | 
Ivan Ljubičić | 1979 | – | Croatia | 2006 French Open semifinalist • 2006 Australian Open quarterfinalist • ranked world no. 3 in 2006 - 2004 Olympic Games doubles bronze medalist
Michaël Llodra | 1980 | – | France | 
John Lloyd | 1954 | – | United Kingdom | 
Feliciano López | 1981 | – | Spain | 2005/2008/2011 Wimbledon quarterfinalist • 2015 US Open quarterfinalist • 2016 French open doubles champion partnering Marc Lopez • ranked world no. 12 in 2015
George Lott | 1906 | 1991 | United States | 
Gordon Lowe | 1884 | 1972 | United Kingdom | 
Yen-hsun Lu | 1983 | – | Taiwan | 2010 Wimbledon quarterfinalist
Peter Lundgren | 1965 | – | Sweden | Ranked world no. 25 in 1987
Jan-Erik Lundqvist | 1937 | – | Sweden | 1961, 1964 French Championships singles semifinalist • ranked world no. 3 in 1964
Bob Lutz | 1949 | – | United States | 
Randolph Lycett | 1886 | 1935 | United Kingdom | 1922 Wimbledon singles finalist, 1905 Australian singles semifinalist • Winner of 5 Grand Slam doubles titles → 1905, 1911 Australian champion, 1921, 1922, 1923 Wimbledon champion • Winner of 3 Grand Slam mixed doubles titles → 1919, 1921, 1923 Wimbledon champion
George Lyttleton-Rogers | 1906 | 1963 | United Kingdom | 1930, 1932 French Championships quarterfinalist
Barry MacKay | 1935 | 2012 | United States | 1959 Wimbledon semifinalist, 1958 and 1960 quarterfinalist • 1959 Australian semifinalist • 1959 United States quarterfinalist
Harold Mahoney | 1867 | 1905 | United Kingdom | 
Nicolas Mahut | 1982 | – | France | 
Gene Mako | 1916 | 2013 | United States | 
Xavier Malisse | 1980 | – | Belgium | 
Boris Maneff | 1916 | 1960 | Switzerland | 1936 French Championships quarterfinalist
Amos Mansdorf | 1965 | – | Israel | 1992 Australian Open quarterfinalist • ranked world no. 18 in 1987
Alberto Mancini | 1969 | – | Argentina | 1989 French Open quarterfinalist • ranked world no. 8 in 1989
Gregory Mangin | 1907 | 1978 | United States | 1928, 1930, 1933, 1935, 1926 U.S. Championships singles quarterfinalist • 1930 Wimbledon singles quarterfinalist • 1933 French Championships singles quarterfinalist • 1931 U.S. Championships doubles finalist
Bruce Manson | 1956 | – | United States | 1981 U.S. Open quarterfinalist
Félix Mantilla | 1974 | – | Spain | Singles: 1997 Australian Open quarterfinalist • 1998 French Open semifinalist • ranked world no. 10 in 1998
John Marks | 1952 | – | Australia | Singles: 1978 Australian Open finalist
William Marshall | 1849 | 1921 | United Kingdom | Singles: 1877 Wimbledon runner-up
Billy Martin | 1956 | – | United States | 
Todd Martin | 1970 | – | United States | 1994 Australian Open finalist, 1999 and 2001 quarterfinalist • 1999 U.S. Open finalist, 1994 and 2000 semifinalist • 1994 and 1996 Wimbledon semifinalist, 1993 and 1999 quarterfinalist • ranked world no. 4 in 1999
Nicolás Massú | 1979 | – | Chile | 
Geoff Masters | 1950 | – | Australia | Winner of 2 Grand Slam doubles titles and 1 mixed doubles title ◌ Singles: 1974 Australian Open quarterfinalist ◌ Doubles: 1974 Australian Open champion • 1977 U.S. Open champion ◌ Mixed doubles: 1974 U.S. Open champion
Wally Masur | 1963 | – | Australia | Singles: 1987 Australian Open semifinalist, 1983 quarterfinalist • 1993 U.S. Open semifinalist • ranked world no. 15 in 1993
Paul-Henri Mathieu | 1982 | – | France | Ranked world no. 12 in 2008
Shuzo Matsuoka | 1967 | – | Japan | Singles: 1995 Wimbledon quarterfinalist
Andreas Maurer | 1958 | – | West Germany | Ranked world no. 24 in 1986
Theodore Mavrogordato | 1883 | 1941 | United Kingdom | Singles: 1909/1914/1920 Wimbledon semifinalist ◌ Doubles: 1914 Wimbledon finalist
Florian Mayer | 1983 | – | Germany | Singles: 2004/2012 Wimbledon quarterfinalist • ranked world no. 18 in 2011
Gene Mayer | 1956 | – | United States | 
Leonardo Mayer | 1987 | – | Argentina | Ranked world no. 21 in 2015
Sandy Mayer | 1952 | – | United States | 
Tim Mayotte | 1960 | – | United States | 1983 Australian Open semifinalist, 1981 quarterfinalist • 1982 Wimbledon semifinalist, 1981, 1983, 1986, 1988 and 1989 quarterfinalist • 1989 U.S. Open quarterfinalist • ranked world no. 7 in 1988
John McEnroe | 1959 | – | United States | 
Patrick McEnroe | 1966 | – | United States | 
Vivian McGrath | 1916 | 1978 | Australia | 
Ken McGregor | 1929 | 2007 | Australia | 
Chuck McKinley | 1941 | 1986 | United States | 
Maurice McLoughlin | 1890 | 1957 | United States | 
Peter McNamara | 1955 | – | Australia | 
Paul McNamee | 1954 | – | Australia | Ranked world no. 24 in 1986
Don McNeill | 1918 | 1996 | United States | 
Frew McMillan | 1942 | – | South Africa | 
Miloslav Mečíř | 1964 | – | Czechoslovakia | 
Andrei Medvedev | 1974 | – | Soviet Union | 1999 French Open finalist, 1993 semifinalist, 1994 quarterfinalist • 1993 US Open quarterfinalist • 1995 Australian Open quarterfinalist • ranked world no. 4 in 1994
Ernest George Meers | 1848 | 1928 | United Kingdom | 1889 U.S. Championships singles semifinalist • 1895 Wimbledon singles semifinalist • 1888 Wimbledon doubles all-comers finalist, partnering A.G. Ziffo
Karl Meiler | 1949 | – | West Germany | Ranked world no. 20 in 1973
Fernando Meligeni | 1971 | – | Brazil | 1999 French Open semifinalist • ranked world no. 25 in 1999
Jürgen Melzer | 1981 | – | Austria | 
Roderich Menzel | 1907 | 1987 | Czechoslovakia | 
Giuseppe Merlo | 1926 | – | Italy | 1955, 1956 French Championships singles semifinalist
Alex Metreveli | 1944 | – | Soviet Union | 1973 Wimbledon finalist, 1972/1974 quarterfinalist • 1972 French Open semifinalist • 1972 Australian Open semifinalist, 1973/1975 quarterfinalist • 1974 US Open quarterfinalist
Max Mirnyi | 1977 | – | Belarus | 
Dragutin Mitić | 1917 | 1986 | Socialist Federal Republic of Yugoslavia | 1938, 1946, 1949 French Championships singles quarterfinalist — winner of 1 Grand Slam mixed doubles titles → 1938 French champion
Juan Mónaco | 1984 | – | Argentina | Ranked world no. 10 in 2012
Gaël Monfils | 1986 | – | France | 2008 French Open semifinalist •2016 US Open semifinalist •2016 Australian Open quarterfinalist • ranked world no. 6 in 2016
Albert Montañés | 1980 | – | Spain | Ranked world no. 22 in 2010
Wesley Moodie | 1979 | – | South Africa | 
Edgar Moon | 1904 | 1976 | Australia | 
Raymond Moore | 1946 | – | South Africa | 1977 US Open quarterfinalist
Enrique Morea | 1920 | 2006 | Argentina | 1953, 1954 French Championships singles semifinalist — winner of 1 Grand Slam mixed doubles titles → 1950 French champion
Umberto De Morpurgo | 1896 | 1961 | Italy | 1930 French Championships singles semifinalist, 1928 Wimbledon singles quarterfinalist
Buster Mottram | 1955 | – | United Kingdom | Ranked world no. 15 in 1983
Carlos Moyá | 1976 | – | Spain | 
Marty Mulligan | 1940 | – | Australia | 1962 Wimbledon finalist; 1959, 1962 and 1970 French Open quarterfinalist
Gardnar Mulloy | 1913 | 2016 | United States | 
Gilles Müller | 1983 | – | Luxembourg | 2008 U.S. Open quarterfinalist
Andy Murray | 1987 | – | United Kingdom | 
Jamie Murray | 1983 | – | United Kingdom | 
Robert Murray | 1892 | 1970 | United States | 
Thomas Muster | 1967 | – | Austria | 
Rafael Nadal | 1986 | – | Spain | 
David Nalbandian | 1982 | – | Argentina | 
Ilie Năstase | 1946 | – | Romania | 
Carr Neel | 1873 | 1949 | United States | 
Daniel Nestor | 1972 | – | Canada | 
John Newcombe | 1944 | – | Australia | 
Kurt Nielsen | 1930 | 2011 | Denmark | 
Jarkko Nieminen | 1981 | – | Finland | 2005 U.S. Open quarterfinalist • 2006 Wimbledon quarterfinalist • 2008 Australian Open quarterfinalist • ranked world no. 13 in 2006
Nathaniel Niles | 1886 | 1932 | United States | 
Harold Nisbet | 1873 | 1937 | United Kingdom | 1897 U.S. Championships singles finalist • 1896, 1900 Wimbledon singles semifinalist • 1896, 1898, 1899, 1900 Wimbledon doubles finalist • 1897 U.S. Championships doubles finalist
Kei Nishikori | 1989 | – | Japan | 2012,2015,2016 Australian Open quarterfinalist • 2014 US Open finalist • 2015 French Open quarterfinalist • 2014,2016 Tour finals semifinalist • 2016 Olympic bronze medalist • ranked world no.4 in 2015
Yannick Noah | 1960 | – | France | 
Magnus Norman | 1976 | – | Sweden | 2000 French Open finalist, 1997 quarterfinalist • 2000 Australian Open semifinalist • Ranked world no.2 in 2000
Brian Norton | 1899 | 1956 | South Africa | 1921 Wimbledon finalist • winner of 1 Grand Slam doubles title → 1923 U.S. champion
Karel Nováček | 1965 | – | Czechoslovakia | 1994 US Open semifinalist • 1987/1993 French Open quarterfinalist
Jiří Novák | 1975 | – | Czech Republic | 2002 Australian Open semifinalist • ranked world no. 5 in 2002
Hans Nüsslein | 1910 | 1991 | Germany | 
Joakim Nyström | 1963 | – | Sweden | Ranked world no. 7 in 1986
Alex O'Brien | 1970 | – | United States | 
Tom Okker | 1944 | – | Netherlands | 1968 US Open finalist, 1971 semifinalist • 1969 French Open semifinalist, 1973 quarterfinalist • 1971 Australian Open semifinalist, 1970 quarterfinalist • 1978 Wimbledon semifinalist, 1968/1969/1975/1979 quarterfinalist ◌ Doubles:
Alex Olmedo | 1936 | – | Peru | 
Manuel Orantes | 1949 | – | Spain | 
Jim Osborne | 1945 | – | United States | 1971 U.S. Open quarterfinalist
Rafael Osuna | 1938 | 1969 | Mexico | 
Leander Paes | 1973 | – | India | 
Dinny Pails | 1921 | 1986 | Australia | 
Benoit Paire | 1989 | – | France | Ranked world no. 18 in 2016
Josip Palada | 1912 | 1994 | Socialist Federal Republic of Yugoslavia | 1938 French Championships singles semifinalist
Antonio Palafox | 1936 | – | Mexico | Winner of 2 Grand Slam doubles titles → 1962 U.S. National champion • 1963 Wimbledon champion
Jared Palmer | 1971 | – | United States | 
Adriano Panatta | 1950 | – | Italy | 
Jahial Parmly Paret | 1870 | 1952 | United States | 1899 U.S. Championships singles finalist
James Cecil Parke | 1881 | 1946 | United Kingdom | 
Frank Parker | 1916 | 1997 | United States | 
C. F. Parr | ? | ? |  | 1879 Wimbledon All-Comers semifinalist
Onny Parun | 1947 | – | New Zealand | 1973 Australian Open finalist • 1975 French Open quarterfinalist • 1971/1972 Wimbledon quarterfinalist • 1973 US Open quarterfinalist
Charlie Pasarell | 1944 | – | United States | 1965 U.S. quarterfinalist • 1976 Wimbledon quarterfinalist
David Pate | 1962 | – | United States | Ranked world no. 18 in 1987
Gerald Patterson | 1895 | 1967 | Australia | 
Andrew Pattison | 1949 | – | Rhodesia | Ranked world no. 24 in 1974
Budge Patty | 1924 | – | United States | 
Andrei Pavel | 1974 | – | Romania | 2002 French Open quarterfinalist • ranked world no. 13 in 2004
Victor Pecci | 1955 | – | Paraguay | Ranked world no. 9 in 1980
Theodore Pell | 1879 | 1967 | United States | 1915 United States semifinalist
Pierre Pellizza | 1917 |  | France | 1946 Wimbledon quarterfinalist
Guillermo Pérez Roldán | 1969 | – | Argentina | Ranked world no. 13 in 1988
Mikael Pernfors | 1963 | – | Sweden | 1986 French Open finalist • 1990 Australian Open quarterfinalist • ranked world no. 10 in 1986
Fred Perry | 1909 | 1995 | United Kingdom | 
Yvon Petra | 1916 | 1984 | France | 
Hank Pfister | 1953 | – | United States | 1978/1981/1982 Australian Open semifinalist • ranked world no. 19 in 1983
Mark Philippoussis | 1976 | – | Australia | 1998 US Open finalist • 2003 Wimbledon finalist, 1998/1999/2000 quarterfinalist • ranked world no. 8 in 1999
Barry Phillips-Moore | 1937 | – | Australia | 1968 Australian Championships semifinalist • 1971 Australian Open quarterfinalist
Nicola Pietrangeli | 1933 | – | Italy | Winner of 2 Grand Slam singles titles → 1959 and 1960 French Open champion, 1961 and 1964 finalist, 1960 Wimbledon semifinalist • ranked world no. 3 in 1959
Nikola Pilić | 1939 | – | Socialist Federal Republic of Yugoslavia | 1973 French Open singles finalist • 1970 US Open doubles champion
Joshua Pim | 1869 | 1942 | Republic of Ireland | 
Libor Pimek | 1963 | – | Czechoslovakia | Ranked world no. 21 in 1985
Ulrich Pinner | 1954 | – | West Germany | Ranked world no. 23 in 1979
Cédric Pioline | 1969 | – | France | 1993 US Open finalist • 1997 Wimbledon finalist • 1998 French Open semifinalist
Hans-Jürgen Pohmann | 1947 | – | West Germany | 1974 French Open quarterfinalist
Alexander Popp | 1976 | – | Germany | 2000/2003 Wimbledon quarterfinalist
Vasek Pospisil | 1990 | - | Canada | 
Lucas Pouille | 1994 | - | France | 2016 Wimbledon quarterfinalist • 2016 US Open quarterfinalist •ranked world no. 10 in 2018
Goran Prpić | 1964 | – | Croatia | 1991 Australian Open quarterfinalist • 1993 French Open quarterfinalist • 1992 Olympic doubles bronze medalist • ranked world no. 16 in 1991
Patrick Proisy | 1949 | – | France | Ranked world no. 23 in 1973 • 1973 French Open finalist
Mariano Puerta | 1978 | – | Argentina | 2005 French Open finalist • ranked world no. 9 in 2005
Jim Pugh | 1964 | – | United States | 
Franjo Punčec | 1913 | 1985 | Socialist Federal Republic of Yugoslavia | 1938 French Championships singles semifinalist • 1938, 1939 Wimbledon singles semifinalist
Mel Purcell | 1959 | – | United States | Ranked world no. 21 in 1980
Sam Querrey | 1987 | – | United States | 2016 Wimbledon Open quarterfinalist • Ranked world no. 17 in 2011
Adrian Quist | 1913 | 1991 | Australia | 
Patrick Rafter | 1972 | – | Australia | 
Dennis Ralston | 1942 | – | United States | 1966 Wimbledon finalist
Andy Ram | 1980 | – | Israel | 
Raúl Ramírez | 1953 | – | Mexico | Ranked world no. 4 in 1976 – winner of 3 Grand Slam doubles titles → 1975/1977 French Open champion • 1976 Wimbledon champion • 1980 Masters champion
Milos Raonic | 1990 | – | Canada | Ranked world no. 3 in 2016 - 2016 Wimbledon finalist • 2016 Australian open semifinalist • 2014 French Open quarterfinalist • 2016 Tour Finals semifinalist
Louis Raymond | 1895 | 1962 | South Africa | 
Richey Reneberg | 1965 | – | United States | Ranked world no. 20 in 1991 – winner of 2 Grand Slam doubles titles → 1992 US Open champion • 1995 Australian Open champion • ranked world no. 1 in doubles
Peter Rennert | 1958 | – | United States | 1980 Australian Open quarterfinalist
Ernest Renshaw | 1861 | 1899 | United Kingdom | 
William Renshaw | 1861 | 1904 | United Kingdom | 
George E. Richards | c.1921 |  | United States | 1942 U.S. National Championships quarterfinalist
Vinnie Richards | 1903 | 1959 | United States | 
Cliff Richey | 1946 | – | United States | 1970 French Open semifinalist • 1970/1972 US Open semifinalist • ranked world no. 16 in 1973
Bobby Riggs | 1918 | 1995 | United States | 
Marty Riessen | 1941 | – | United States | 1971 Australian Open quarterfinalist; 1971 doubles finalist • 1971 US Open quarterfinalist; 1976 doubles champion, 1975/1978 finalist • 1971 French Open doubles champion (w/Ashe) • 1969 Wimbledon doubles finalist • ranked world no. 11 in 1974
Marcelo Ríos | 1975 | – | Chile | 
Frank Riseley | 1877 | 1959 | United Kingdom | 1903(Ch), 1904(Ch), and 1906(Ch) Wimbledon finalist
Major Ritchie | 1870 | 1955 | United Kingdom | 1902, 1903, 1904, and 1909(Ch) Wimbledon finalist
Tommy Robredo | 1982 | – | Spain | 2007 Australian Open quarterfinalist •2003/2005/2007/2009/2013 French Open quarterfinalist • 2013 US Open quarterfinalist • ranked world no. 5 in 2006
Tony Roche | 1945 | – | Australia | 
Olivier Rochus | 1981 | – | Belgium | 
Andy Roddick | 1982 | – | United States | 
Christophe Roger-Vasselin | 1957 | – | France | 1983 French Open semifinalist
Édouard Roger-Vasselin | 1983 | – | France | 
Mervyn Rose | 1930 | 2017 | Australia | 
Ken Rosewall | 1934 | – | Australia | 
Marc Rosset | 1970 | – | Switzerland | 
Derrick Rostagno | 1965 | – | United States | 1988 US Open quarterfinalist • ranked world no. 13 in 1991
Ray Ruffels | 1946 | – | Australia | 1969/1975 Australian Open semifinalist, 1970/1977(December) quarterfinalist • 1968 Australian Championships quarterfinalist
Greg Rusedski | 1973 | – | United Kingdom | 1997 US Open finalist • 1997 Wimbledon quarterfinalist • ranked world no. 4 in 1997
Alejo Russell | 1916 | 1977 | Argentina | 1942 and 1945 U.S. National Championships quarterfinalist
John Van Ryn | 1905 | 1999 | United States | Winner of 6 Grand Slam doubles titles → 1929, 1930, 1931 Wimbledon champion • 1931, 1935 U.S. champion •  1931 French champion
André Sá | 1978 | – | Brazil | 2002 Wimbledon quarterfinalist
John Sadri | 1956 | – | United States | Ranked world no. 14 in 1980
Marat Safin | 1980 | – | Russia | 
Pete Sampras | 1971 | – | United States | 
Emilio Sánchez | 1965 | – | Spain | 1988 French Open quarterfinalist • 1988 U.S. Open quarterfinalist
Javier Sánchez | 1968 | – | Spain | 1991/1996 U.S. Open quarterfinalist
Manuel Santana | 1938 | – | Spain | 
Fabrice Santoro | 1972 | – | France | 
Jiro Sato | 1908 | 1934 | Japan | 1931/1933 French championship semifinalist • 1932 Australian championship semifinalist • 1932/1933 Wimbledon semifinalist, 1931 quarterfinalist
Dick Savitt | 1927 | – | United States | 
Bill Scanlon | 1956 | – | United States | Ranked world no. 9 in 1984
Sjeng Schalken | 1976 | – | Netherlands | 2002 US Open semifinalist • 2002/2003/2004 Wimbledon quarterfinalist • ranked world no. 11 in 2003
Michiel Schapers | 1959 | – | Netherlands | 1985/1988 Australian Open quarterfinalist • ranked world no. 25 in 1988
Richard Schlesinger | 1900 | 1968 | Australia | 1924, 1929 Australian Championships singles finalist • 1925 Australasian Championships mixed doubles finalist
Ted Schroeder | 1921 | 2006 | United States | 
Rainer Schüttler | 1976 | – | Germany | 2003 Australian Open finalist • 2008 Wimbledon semifinalist • 2003 Masters semifinalist • ranked world no. 5 in 2003
Diego Schwartzman | 1992 | – | Argentina | 2017 US Open quarterfinalist • 2018 French Open quarterfinalist • ranked world no. 11 in 2018
Richard Sears | 1861 | 1943 | United States | 
Frank Sedgman | 1927 | – | Australia | 
Abe Segal | 1930 | 2016 | South Africa | 1964 Wimbledon quarterfinalist
Pancho Segura | 1921 | – | United States | 
Robert Seguso | 1963 | – | United States | Winner of 4 Grand Slam doubles titles → 1985 US Open champion • 1987/1988 Wimbledon champion • 1987 French Open champion
Vic Seixas | 1923 | – | United States | 
Andreas Seppi | 1984 | – | Italy | Ranked world no. 18 in 2013
Quincy Shaw | 1869 | 1960 | United States | 1889 U.S Championships singles finalist
Frank Shields | 1909 | 1975 | United States | 1930 U.S. Championships singles finalist • 1931 Wimbledon singles finalist
Zenzo Shimizu | 1891 | 1977 | Japan | 1920 Wimbledon (challenge round) finalist
Bill Sidwell | 1920 |  | Australia | 
Jan Siemerink | 1970 | – | Netherlands | 1998 Wimbledon quarterfinalist • ranked world no. 14 in 1998
Gilles Simon | 1984 | – | France | 2009 Australian Open quarterfinalist •2015 Wimbledon quarterfinalist •2008 Masters semifinalist •ranked world no. 6 in 2009
Orlando Sirola | 1928 | 1995 | Italy | 
Dick Skeen | 1906 | 1994 | United States | Ranked no. 2 in professional tennis in 1941
Horst Skoff | 1968 | 2008 | Austria | Ranked world no. 18 in 1990
Henry Slocum | 1862 | 1949 | United States | 
Pavel Složil | 1955 | – | Czechoslovakia | Ranked world no. 12 in 1984
Tomáš Šmíd | 1956 | – | Czechoslovakia | Ranked world no. 11 in 1984
Stan Smith | 1946 | – | United States | 
Sydney Howard Smith | 1872 | 1947 | United Kingdom | 1899, 1900(Ch), 1905 Wimbledon finalist •  winner of 2 Grand Slam doubles titles → 1902, 1906 Wimbledon champion
Jack Sock | 1992 | - | United States | 
Robin Söderling | 1984 | – | Sweden | 2009/2010 French Open finalist, 2011 quarterfinalist •2010 Wimbledon quarterfinalist •2009/2010 US Open quarterfinalist • 2009 Masters semifinalist •ranked world no. 4 in 2010
Harold Solomon | 1952 | – | United States | Ranked world no. 5 in 1980
Vince Spadea | 1974 | – | United States | 1999 Australian Open quarterfinalist • ranked world no. 18 in 2005
Pat Spence | 1872 | 1947 | South Africa | 
Franco Squillari | 1975 | – | Argentina | 2000 French Open semifinalist • ranked world no. 11 in 2000
Milan Šrejber | 1963 | – | Czechoslovakia | 1986 U.S. Open quarterfinalist • ranked world no. 23 in 1986
Paradorn Srichaphan | 1979 | – | Thailand | Ranked world no. 9 in 2003
Jonathan Stark | 1971 | – | United States | 
Carl-Uwe Steeb | 1967 | – | West Germany | Ranked world no. 14 in 1990
Giorgio de Stefani | 1904 | 1992 | Italy | 1932 French Championships singles finalist, 1935 Australian Championships singles quarterfinalist
Ulf Stenlund | 1967 | – | Sweden | Ranked world no. 23 in 1987
Radek Štěpánek | 1978 | – | Czech Republic | 2006 Wimbledon quarterfinalist • Winner of 2 Grand Slams doubles titles → 2012 Australian Open and 2013 US Open doubles champion both with Leander Paes • 2016 mixed doubles Olympic bronze medalist with Lucie Hradecká  • ranked world no. 8 in 2006
Brett Steven | 1969 | – | New Zealand | 1993 Australian Open quarterfinalist
Sherwood Stewart | 1946 | – | United States | Winner of 3 Grand Slam doubles titles → 1976/1982 French Open champion • 1984 Australian Open champion
Michael Stich | 1968 | – | Germany | 
Dick Stockton | 1951 | – | United States | 1974 Wimbledon semifinalist • 1976/1977 US Open quarterfinalist
Les Stoefen | 1911 | 1970 | United States | 1934 U.S. Championships semifinalist, 1934 and 1935 doubles winner
Fred Stolle | 1938 | – | Australia | 1969 Australian Open quarterfinalist • 1969 French Open quarterfinalist • 1969/1972 US Open quarterfinalist
Sandon Stolle | 1970 | – | Australia | 
Jason Stoltenberg | 1970 | – | Australia | 1996 Wimbledon semifinalist • ranked world no. 19 in 1994
Allan Stone | 1945 | – | Australia | 1971 Australian Open semifinalist — winner of 2 Grand Slam doubles titles → 1968/1977[Dec] Australian Open champion
Eric Sturgess | 1920 | 2004 | South Africa | 
Cyril Suk | 1967 | – | Czechoslovakia | 
Henrik Sundström | 1964 | – | Sweden | 1984 French Open quarterfinalist
Jonas Svensson | 1966 | – | Sweden | 1988 French Open semifinalist • 1989 Australian Open quarterfinalist
Ottó Szigeti | 1911 | 1976 | Hungary | 1939 French Championships semifinalist
Bill Talbert | 1918 | 1999 | United States | 
Roscoe Tanner | 1951 | – | United States | 
Balázs Taróczy | 1954 | – | Hungary | 1976/1981 French Open quarterfinalist; ranked world no. 13 in 1982
Howard Taylor | 1865 | ? | United States | 
Roger Taylor | 1941 | – | United Kingdom | Ranked world no. 11 in 1973
Brian Teacher | 1954 | – | United States | 
Horia Tecău | 1985 | – | Romania | 
Eliot Teltscher | 1959 | – | United States | Ranked world no. 6 in 1982
Ben Testerman | 1962 | – | United States | Ranked world no. 22 in 1984
Dominic Thiem | 1993 | – | Austria | 2018 French Open finalist • 2015/2016 French Open semifinalist • 2018 US Open quarterfinalist • Ranked world no. 4 in 2017
Bill Tilden | 1893 | 1953 | United States | 
Mikael Tillström | 1972 | – | Sweden | 1996 Australian Open quarterfinalist
Henk Timmer | 1904 | 1998 | Netherlands | 1927, 1929 Wimbledon singles quarterfinalist • 1924 Olympic mixed doubles bronze medalist
Janko Tipsarević | 1984 | – | Serbia | 2011/2012 US Open quarterfinalist •ranked world no. 8 in 2012
Ion Ţiriac | 1939 | – | Romania | 
Ignacy Tłoczyński | 1911 | 2000 | Poland | 1939 French Championships singles quarterfinalist
Bernard Tomic | 1992 | – | Australia | 2011 Wimbledon quarterfinalist • Ranked world no. 17 in 2016
Tony Trabert | 1930 | – | United States | 
Viktor Troicki | 1986 | – | Serbia | Ranked world no. 12 in 2011
Stefanos Tsitsipas | 1998 | – | Greece | Ranked world no. 15 in 2018
Jo-Wilfried Tsonga | 1985 | – | France | 2008 Australian Open finalist, 2010 semifinalist, 2009/2013/2017 quarterfinalist •2013/2015 French Open semifinalist, 2012 quarterfinalist •2011/2012 Wimbledon semifinalist, 2010/2016 quarterfinalist •2011/2015/2016 US Open quarterfinalist •2011 Tour Finals finalist •2012 Olympic silver medalist in doubles partnering Michaël Llodra •ranked world no. 5 in 2012
Thierry Tulasne | 1963 | – | France | Ranked world no. 10 in 1986
Dmitry Tursunov | 1982 | – | Russia | Ranked world no. 20 in 2006
Kevin Ullyett | 1972 | – | Zimbabwe | 
Christo van Rensburg | 1962 | – | South Africa | 
Robert Van't Hof | 1959 | – | United States | Ranked world no. 25 in 1983
Fernando Verdasco | 1983 | – | Spain | 2009 Australian Open semifinalist • 2013 Wimbledon quarterfinalist • 2009/2010 US Open quarterfinalist • ranked world no. 7 in 2009
