List of Toronto Maple Leafs players - Wikipedia
===============================================
Goaltenders
___________
Player Name     |     Nationality     |     Seasons
Mulhern, Richard | Canada | 1979–1980
Muller, Kirk | Canada | 1995–1997
Mummery, Harry | United States | 1917–1919
Muni, Craig | Canada | 1981–1986
Munro, Gerald | Canada | 1925–1926
Murphy, Larry | Canada | 1995–1997
Murray, Ken | Canada | 1969–1971
Murray, Randy | Canada | 1969–1970
Muzzin, Jake | Canada | 2018–2019
Nattress, Ric | Canada | 1991–1992
Nedved, Zdenek | Czech Republic | 1994–1997
Neely, Bob | Canada | 1973–1978
Nelson, Gord | Canada | 1969–1970
Nesterenko, Eric | Canada | 1951–1956
Neville, Mike | Canada | 1924–1926
Nevin, Bob | Canada | 1957–1964
Newbury, Kris | Canada | 2006–2009
Nieuwendyk, Joe | Canada | 2003–2004
Nighbor, Frank | Canada | 1929–1930
Nigro, Frank | Canada | 1982–1984
Noble, Reg | Canada | 1917–1925
Nolan, Owen | Canada | 2002–2004
Nolan, Patrick | Canada | 1921–1922
Nykoluk, Mike | Canada | 1956–1957
Nylander, William | Sweden | 2015–2019
Nylund, Gary | Canada | 1982–1986
O'Byrne, Ryan | Canada | 2012–2013
O'Flaherty, Gerry | United States | 1971–1972
O'Neill, Jeff | Canada | 2005–2007
O'Neill, Tom | Canada | 1943–1945
Olczyk, Ed | United States | 1987–1991
Oliver, Murray | Canada | 1967–1970
Olmstead, Bert | Canada | 1958–1962
Ondrus, Ben | Canada | 2005–2009
Oreskovic, Phil | Canada | 2008–2009
Orr, Colton | Canada | 2009–2015
Osborne, Mark | Canada | 1986–19911991–1994
Osburn, Randy | Canada | 1972–1973
Ozhiganov, Igor | Russia | 2018–2019
Paiement, Wilf | Canada | 1979–1982
Panik, Richard | Slovakia | 2014–2015
Pappin, Jim | Canada | 1963–1968
Parenteau, P. A. | Canada | 2015–2016
Parise, J. P. | Canada | 1967–1968
Parsons, George | Canada | 1936–1939
Patterson, George | Canada | 1926–1928
Pearson, Rob | Canada | 1991–1994
Pearson, Scott | Canada | 1988–19911996–1997
Peca, Michael | Canada | 2006–2007
Percy, Stuart | Canada | 2014–2016
Pederson, Tom | United States | 1996–1997
Pelyk, Mike | Canada | 1967–19741976–1978
Perlini, Fred | Canada | 1981–1984
Perreault, Yanic | Canada | 1993–19941998–20012006–2007
Perrott, Nathan | Canada | 2003–2006
Petan, Nic | Canada | 2018–2019
Petit, Michel | Canada | 1990–1992
Pettinger, Eric | Great Britain | 1928–1930
Phaneuf, Dion | Canada | 2009–2016
Picard, Robert | Canada | 1980–1981
Pilar, Karel | Czech Republic | 2001–2004
Pilote, Pierre | Canada | 1968–1969
Plante, Cam | Canada | 1984–1985
Plekanec, Tomas | Czech Republic | 2017–2018
Poddubny, Walt | Canada | 1981–1986
Podollan, Jason | Canada | 1996–1999
Pohl, John | United States | 2005–2008
Poile, Bud | Canada | 1942–1948
Polak, Roman | Czech Republic | 2014–20162016–2018
Ponikarovsky, Alexei | Ukraine | 2000–2010
Pratt, Tracy | United States | 1976–1977
Pratt, Walter | Canada | 1942–1946
Prentice, Eric | Canada | 1943–1944
Presley, Wayne | United States | 1995–1996
Price, Noel | Canada | 1957–1959
Primeau, Joe | Canada | 1927–1936
Primeau, Wayne | Canada | 2009–2010
Prochazka, Martin | Czech Republic | 1997–1998
Prodgers, George | Canada | 1919–1920
Pronovost, Marcel | Canada | 1965–1970
Pudas, Albert | Canada | 1926–1927
Pulford, Bob | Canada | 1956–1970
Quenneville, Joel | Canada | 1978–1980
Quinn, Pat | Canada | 1968–1970
Ramage, Rob | Canada | 1989–1991
Ramsay, Beattie | Canada | 1927–1928
Randall, Ken | Canada | 1917–1923
Reaume, Marc | Canada | 1954–1960
Regan, Larry | Canada | 1958–1961
Reichel, Robert | Czech Republic | 2001–2004
Reid, Dave | Canada | 1952–1956
Reid, Dave | Canada | 1988–1991
Reid, Reg | Canada | 1924–1926
Renberg, Mikael | Sweden | 2001–2004
Reynolds, Bobby | United States | 1989–1990
Ribble, Pat | Canada | 1979–1980
Richardson, Luke | Canada | 1987–1991
Ridley, Mike | Canada | 1994–1995
Rielly, Morgan | Canada | 2013–2019
Ritchie, Dave | Canada | 1918–1919
Roach, Mickey | United States | 1919–1921
Robert, Rene | Canada | 1970–19711980–1982
Roberts, Gary | Canada | 2000–2004
Robertson, Fred | Great Britain | 1931–1934
Robidas, Stephane | Canada | 2014–2016
Rodden, Eddie | Canada | 1927–1928
Romnes, Elwin | United States | 1938–1939
Root, Bill | Canada | 1984–1987
Rosehill, Jay | Canada | 2009–2012
Rosen, Calle | Sweden | 2017–2019
Rouse, Bob | Canada | 1990–1994
Rupp, Duane | Canada | 1964–1968
Rychel, Warren | Canada | 1994–1995
Salming, Borje | Sweden | 1973–1989
Samis, Phil | Canada | 1947–1950
Sands, Charlie | Canada | 1932–1934
Santorelli, Mike | Canada | 2014–2015
Schenn, Luke | Canada | 2008–2012
Schneider, Mathieu | United States | 1995–1998
Schriner, David | Russia | 1939–1946
Schutt, Rod | Canada | 1985–1986
Scott, Ganton | Canada | 1922–1924
Secord, Al | Canada | 1987–1989
Sedlbauer, Ron | Canada | 1980–1981
Seiling, Rod | Canada | 1962–19631974–1976
Selby, Brit | Canada | 1964–19671968–1971
Selwood, Brad | Canada | 1970–1972
Semenko, Dave | Canada | 1987–1988
Serowik, Jeff | United States | 1990–1991
Shack, Eddie | Canada | 1960–19671973–1975
Shand, David | Canada | 1980–1983
Shannon, Darryl | Canada | 1988–1993
Shay, Normand | Canada | 1925–1926
Shedden, Doug | Canada | 1988–1991
Shill, Jack | Canada | 1933–19341935–1937
Sifers, Jaime | Canada | 2008–2009
Sill, Zach | Canada | 2014–2015
Sittler, Darryl | Canada | 1970–1982
Sjostrom, Fredrik | Sweden | 2009–2011
Skinner, Alf | Canada | 1917–1919
Sloan, Tod | Canada | 1947–1958
Sly, Darryl | Canada | 1965–1968
Smedsmo, Dale | United States | 1972–1973
Smith, Art | Canada | 1927–1930
Smith, Ben | United States | 2015–2017
Smith, Brad | Canada | 1985–1987
Smith, D. J. | Canada | 1996–19971999–2000
Smith, Floyd | Canada | 1967–1970
Smith, George | Canada | 1921–1922
Smith, Jason | Canada | 1996–1999
Smith, Sid | Canada | 1946–1958
Smith, Trevor | Canada | 2013–2015
Smyth, Greg | Canada | 1993–19941996–1997
Snell, Chris | Canada | 1993–1994
Solinger, Bob | Canada | 1951–1955
Soshnikov, Nikita | Russia | 2015–2018
Spaling, Nick | Canada | 2015–2016
Spence, Gord | Canada | 1925–1926
Spencer, Brian | Canada | 1969–1972
Speyer, Chris | Canada | 1923–1925
Spring, Jesse | United States | 1926–1927
Stackhouse, Ted | Canada | 1921–1922
Stajan, Matt | Canada | 2002–2010
Stalberg, Viktor | Sweden | 2009–2010
Stamler, Lorne | Canada | 1978–1979
Stanley, Allan | Canada | 1958–1969
Stanowski, Wally | Canada | 1939–1948
Stapleton, Tim | United States | 2008–2009
Stastny, Marian | Slovakia | 1985–1986
Steckel, Dave | United States | 2011–2013
Steen, Alexander | Sweden | 2005–2009
Stemkowski, Pete | Canada | 1963–1968
Stempniak, Lee | United States | 2008–2010
Stephenson, Bob | Canada | 1979–1980
Stewart, Bill | Canada | 1983–1985
Stevens, Mike | Canada | 1989–1990
Stewart, Gaye | Canada | 1942–1948
Stewart, Ron | Canada | 1952–1965
Stothers, Mike | Canada | 1987–1988
Stoughton, Blaine | Canada | 1974–1976
Stralman, Anton | Sweden | 2007–2009
Strong, Ken | Canada | 1982–1985
Stuart, Bill | Canada | 1920–1925
Suglobov, Aleksander | Russia | 2005–2007
Sullivan, Frank | Canada | 1949–19501952–1953
Sullivan, Steve | Canada | 1996–2000
Sundin, Mats | Sweden | 1994–2008
Sutherland, Bill | Canada | 1968–1969
Sutter, Rich | Canada | 1994–1995
Svehla, Robert | Slovakia | 2002–2003
Svoboda, Petr | Czech Republic | 2000–2001
Sykes, Bob | Canada | 1974–1975
Tavares, John | Canada | 2018–2019
Taylor, Billy | Canada | 1939–1946
Taylor, Harry | Canada | 1946–1949
Terrion, Greg | Canada | 1982–1988
Thibaudeau, Gilles | Canada | 1989–1991
Thomas, Cy | Canada | 1947–1948
Thomas, Steve | Great Britain | 1984–19871998–2001
Thompson, Errol | Canada | 1970–1978
Thoms, Bill | Canada | 1932–1939
Thomson, Jimmy | Canada | 1945–1957
Thomson, Rhys | Canada | 1942–1943
Thornton, Scott | Canada | 1990–1991
Timgren, Ray | Canada | 1948–1955
Tlusty, Jiri | Czech Republic | 2007–2010
Tomlinson, Dave | Canada | 1991–1993
Toporowski, Shayne | Canada | 1996–1997
Tremblay, Yannick | Canada | 1996–1999
Trottier, Guy | Canada | 1970–1972
Tucker, Darcy | Canada | 1999–2008
Turnbull, Ian | Canada | 1973–1982
Ullman, Norm | Canada | 1967–1975
Unger, Garry | Canada | 1967–1968
Vaive, Rick | Canada | 1979–1987
Valiquette, Jack | Canada | 1974–1978
Valk, Garry | Canada | 1998–2001
Valiev, Rinat | Russia | 2015–2017
Van Riemsdyk, James | United States | 2012–2018
Van Ryn, Mike | Canada | 2008–2009
Veitch, Darren | Canada | 1988–1991
Versteeg, Kris | Canada | 2010–2011
Verstraete, Leigh | Canada | 1982–19831984–19851987–1988
Voss, Carl | United States | 1926–19271928–1929
Walker, Kurt | United States | 1975–1978
Wallin, Rickard | Sweden | 2009–2010
Walton, Mike | Canada | 1965–1971
Ward, Dixon | Canada | 1994–1995
Ward, Ron | Canada | 1969–1970
Ware, Jeff | Canada | 1996–1998
Warner, Bob | Canada | 1975–1977
Warriner, Todd | Canada | 1994–2000
Watson, Harry | Canada | 1946–1955
Webster, Don | Canada | 1943–1944
Weir, Stan | Canada | 1975–1978
Wellwood, Kyle | Canada | 2003–2008
Wesley, Glen | Canada | 2002–2003
Westrum, Erik | United States | 2006–2007
White, Ian | Canada | 2005–2010
White, Peter | Canada | 1995–1996
Willard, Rod | Canada | 1982–1983
Williams, Jeremy | Canada | 2005–2009
Williams, Tiger | Canada | 1974–1980
Wilm, Clarke | Canada | 2003–2006
Wilson, Carol | Canada | 1919–1921
Wilson, Johnny | Canada | 1959–1961
Wilson, Ron | Canada | 1977–1980
Winnik, Daniel | Canada | 2014–20152015–2016
Wiseman, Brian | Canada | 1996–1997
Wolanin, Craig | United States | 1996–1998
Wood, Randy | United States | 1994–1996
Wozniewski, Andy | United States | 2005–2008
Wren, Bob | Canada | 2001–2002
Yake, Terry | Canada | 1994–1995
Yakushkin, Dmitriy | Ukraine | 1999–2000
Yaremchuk, Gary | Canada | 1981–1985
Yaremchuk, Ken | Canada | 1986–1989
Yushkevich, Dmitri | Russia | 1995–2002
Zaitsev, Nikita | Russia | 2016–2019
Zanussi, Ron | Canada | 1980–1982
Zettler, Rob | Canada | 1995–1998
Zezel, Peter | Canada | 1990–1994
Zigomanis, Michael | Canada | 2010–2011


Total Goaltenders: 96
Total Skaters: 840
